,Date,hurricane,observed,region,residual,seasonal,trend,type,year
0,2002-01-01 00:00:00,0,0.800633548,Alachua,1.124743853,1.066359615,0.662705666,Urban,2002
1,2002-02-01 00:00:00,0,0.56652705,Alachua,0.990011092,0.859423068,0.661024873,Urban,2002
2,2002-03-01 00:00:00,0,0.635658767,Alachua,0.946697819,1.010985136,0.659344079,Urban,2002
3,2002-04-01 00:00:00,0,0.734314488,Alachua,0.921420899,1.202997314,0.657663286,Urban,2002
4,2002-05-01 00:00:00,0,0.575497614,Alachua,0.844106296,1.031806729,0.655982492,Urban,2002
5,2002-06-01 00:00:00,0,0.576190246,Alachua,0.878665024,0.994967126,0.654301699,Urban,2002
6,2002-07-01 00:00:00,0,1.101473086,Alachua,1.685934754,0.991630672,0.654074762,Urban,2002
7,2002-08-01 00:00:00,0,0.497463879,Alachua,0.905239873,0.850335757,0.641581233,Urban,2002
8,2002-09-01 00:00:00,0,0.606945244,Alachua,0.998777684,0.940790508,0.641256784,Urban,2002
9,2002-10-01 00:00:00,0,0.610827679,Alachua,0.964687435,0.9707535,0.6475411,Urban,2002
10,2002-11-01 00:00:00,0,0.753163003,Alachua,1.057049085,1.080590619,0.654601276,Urban,2002
11,2002-12-01 00:00:00,0,0.631143478,Alachua,0.945547928,1.003079495,0.660622583,Urban,2002
12,2003-01-01 00:00:00,0,0.514873764,Alachua,0.739794075,1.066359615,0.647933511,Urban,2003
13,2003-02-01 00:00:00,0,0.548696008,Alachua,0.99999382,0.859423068,0.6338284,Urban,2003
14,2003-03-01 00:00:00,0,0.645605734,Alachua,0.994390229,1.010985136,0.637543728,Urban,2003
15,2003-04-01 00:00:00,0,0.877075441,Alachua,1.135233986,1.202997314,0.637574773,Urban,2003
16,2003-05-01 00:00:00,0,0.604297862,Alachua,0.919656655,1.031806729,0.632224324,Urban,2003
17,2003-06-01 00:00:00,0,0.693706838,Alachua,1.095660026,0.994967126,0.631736025,Urban,2003
18,2003-07-01 00:00:00,0,0.67561397,Alachua,1.024998395,0.991630672,0.659887195,Urban,2003
19,2003-08-01 00:00:00,0,0.580570974,Alachua,0.986690084,0.850335757,0.686955066,Urban,2003
20,2003-09-01 00:00:00,0,0.614120036,Alachua,0.932670326,0.940790508,0.694826538,Urban,2003
21,2003-10-01 00:00:00,0,0.604407299,Alachua,0.884555688,0.9707535,0.698778884,Urban,2003
22,2003-11-01 00:00:00,0,0.629568287,Alachua,0.821678017,1.080590619,0.70392145,Urban,2003
23,2003-12-01 00:00:00,0,0.742872602,Alachua,1.034446208,1.003079495,0.710747423,Urban,2003
24,2004-01-01 00:00:00,0,1.087213759,Alachua,1.420028196,1.066359615,0.712784915,Urban,2004
